voltage_kv_mm,failure_time,fitted_value,log_standardized_residual,exp_standardized_residual
100.3,606.0,2626.9030265753404,-1.417276636778295,0.24237318913613354
100.3,1012.0,2626.9030265753404,-0.9217462586770814,0.39782373102334295
100.3,2520.0,2626.9030265753404,-0.04014721928329393,0.9606480028310272
100.3,2610.0,2626.9030265753404,-0.006237929197146024,0.9937814862913968
100.3,3988.0,2626.9030265753404,0.4034215534310295,1.4969377979386458
100.3,4100.0,2626.9030265753404,0.4301857143773471,1.5375430408836057
100.3,5025.0,2626.9030265753404,0.6267714933697385,1.8715584759448698
100.3,6842.0,2626.9030265753404,0.9250292827576979,2.5219421086965985
122.4,188.0,794.8158314236281,-1.393106742583551,0.2483026925511115
122.4,297.0,794.8158314236281,-0.9512201075409499,0.3862694455617629
122.4,405.0,794.8158314236281,-0.651512559005664,0.521256748596266
122.4,744.0,794.8158314236281,-0.06384388710638683,0.938151445636195
122.4,1218.0,794.8158314236281,0.41247666782478504,1.5105542973789656
122.4,1340.0,794.8158314236281,0.5047206192737558,1.6565226553035808
122.4,1715.0,794.8158314236281,0.7431526826064655,2.102553761068828
122.4,3382.0,794.8158314236281,1.3993333265315462,4.052497373591212
157.1,49.0,329.97386255171665,-1.8429505097448338,0.1583495243573222
157.1,99.0,329.97386255171665,-1.163341174578716,0.31244051667037137
157.1,154.5,329.97386255171665,-0.733258983155084,0.480341013202134
157.1,180.0,329.97386255171665,-0.5856419489045478,0.5567483430811231
157.1,291.0,329.97386255171665,-0.12145638264681562,0.8856296813290372
157.1,447.0,329.97386255171665,0.2933204143427847,1.3408723563432827
157.1,510.0,329.97386255171665,0.4207311867547613,1.523074800694787
157.1,600.0,329.97386255171665,0.5777757651425046,1.782070276505013
157.1,1656.0,329.97386255171665,1.5588090180506515,4.753156948641698
157.1,1721.0,329.97386255171665,1.596012614739294,4.933322098356975
219.0,15.0,83.01369862004499,-1.6533229453684253,0.19141279639720002
219.0,16.0,83.01369862004499,-1.5909583649891468,0.20373027018673823
219.0,36.0,83.01369862004499,-0.807343838969774,0.44604125155217256
219.0,50.0,83.01369862004499,-0.4899052313213729,0.6126844547294021
219.0,55.0,83.01369862004499,-0.39780551684697274,0.6717926673141121
219.0,95.0,83.01369862004499,0.13032819780577556,1.1392022056416604
219.0,122.0,83.01369862004499,0.3720463975643107,1.4507002886916371
219.0,129.0,83.01369862004499,0.42595845923983,1.5310571725333957
219.0,625.0,83.01369862004499,1.9507457826435366,7.033931408928771
219.0,700.0,83.01369862004499,2.0602570602422436,7.847986956471457
361.4,0.1,0.8322985511917166,-2.0476430939869594,0.1290386774988151
361.4,0.33,0.8322985511917166,-0.8939371763543053,0.40904210732064256
361.4,0.5,0.8322985511917166,-0.49241811693022053,0.6111467815878506
361.4,0.5,0.8322985511917166,-0.49241811693022053,0.6111467815878506
361.4,0.9,0.8322985511917166,0.07556931232954922,1.0784979783347444
361.4,1.0,0.8322985511917166,0.17738082321834742,1.1940857421264959
361.4,1.55,0.8322985511917166,0.6008734038495476,1.8237109411548278
361.4,1.65,0.8322985511917166,0.6612878007024335,1.9372855663777113
361.4,2.1,0.8322985511917166,0.8943264605863438,2.445687967348522
361.4,4.0,0.8322985511917166,1.5169787035154834,4.558431994400407
